iter	Passed	Remaining
412	3946	831
413	3954	821
414	3964	811
415	3971	801
416	3979	792
417	3988	782
418	3997	772
419	4005	762
420	4013	753
421	4023	743
422	4031	733
423	4040	724
424	4049	714
425	4058	705
426	4068	695
427	4080	686
428	4091	677
429	4104	668
430	4114	658
431	4127	649
432	4136	640
433	4148	630
434	4161	621
435	4171	612
436	4180	602
437	4189	593
438	4198	583
439	4209	573
440	4218	564
441	4227	554
442	4237	545
443	4247	535
444	4256	526
445	4266	516
446	4275	506
447	4285	497
448	4296	488
449	4307	478
450	4317	469
451	4331	459
452	4345	450
453	4355	441
454	4365	431
455	4375	422
456	4386	412
457	4398	403
458	4410	393
459	4421	384
460	4432	374
461	4442	365
462	4455	356
463	4468	346
464	4481	337
465	4490	327
466	4500	317
467	4509	308
468	4518	298
469	4527	288
470	4535	279
471	4544	269
472	4552	259
473	4560	250
474	4569	240
475	4579	230
476	4593	221
477	4602	211
478	4611	202
479	4620	192
480	4628	182
481	4636	173
482	4645	163
483	4654	153
484	4663	144
485	4671	134
486	4679	124
487	4688	115
488	4698	105
489	4706	96
490	4715	86
491	4723	76
492	4733	67
493	4741	57
494	4751	47
495	4759	38
496	4767	28
497	4776	19
498	4785	9
499	4793	0
