iter	TotalF1	MultiClass
71	0.7712885275	0.6487630318
72	0.772058664	0.6475880758
73	0.7721735202	0.6464565809
74	0.7726882335	0.6453113201
75	0.7731477823	0.6440706154
76	0.7735083278	0.6432505585
77	0.7738450743	0.6419873694
78	0.7739628384	0.6411574798
79	0.7740592804	0.640693502
80	0.7745798876	0.6399854081
81	0.7748944072	0.6395167105
82	0.7749330013	0.6390152369
83	0.7752190447	0.6383051765
84	0.7754979051	0.6376529986
85	0.7757836908	0.6369239281
86	0.7759791429	0.6361041335
87	0.7759905597	0.6350339953
88	0.7762397274	0.6342790317
89	0.7766422169	0.6333923739
90	0.7767065759	0.6329323948
91	0.7770072527	0.632573497
92	0.7775420474	0.6320490802
93	0.7776063838	0.6316964754
94	0.7783010385	0.6306149312
95	0.7785009534	0.6296042488
96	0.7788865652	0.6285895678
97	0.7791845315	0.6279215918
98	0.7796103533	0.6275574499
99	0.7798600664	0.6269794114
100	0.7799341455	0.626336083
101	0.7801607307	0.6260515869
102	0.7803450529	0.6253103237
103	0.7803306407	0.6247008202
104	0.7804960048	0.6241848596
105	0.7804291058	0.6234063627
106	0.7806010312	0.6231006933
107	0.7807788958	0.6226976789
108	0.7814116452	0.6219714271
109	0.7817576599	0.6214223627
110	0.7818018721	0.6209825736
111	0.781980601	0.6206413094
112	0.7820200735	0.6203022083
113	0.7821749807	0.6200302982
114	0.7819473559	0.6197172869
115	0.7825353207	0.6189450831
116	0.7832932311	0.6179975929
117	0.7835332218	0.617485041
118	0.7839736535	0.6168532498
119	0.7837599801	0.6163053653
120	0.7840570737	0.6156235579
121	0.7839787156	0.6152315563
122	0.7845229893	0.6145377528
123	0.7847213391	0.6142956688
124	0.7847148652	0.6140522739
125	0.7849580907	0.6132826266
126	0.7851638908	0.6127574231
127	0.7855110797	0.6120189786
128	0.7856050785	0.6117492973
129	0.7856506977	0.6115675868
130	0.7857243865	0.6112920058
131	0.7858739976	0.6110477586
132	0.7862996799	0.6102772592
133	0.7864047074	0.6098109215
134	0.7862952539	0.609579457
135	0.7864287776	0.6092430436
136	0.7866324039	0.6090157745
137	0.7866651428	0.6087823434
138	0.78723149	0.6081904079
139	0.7875788175	0.6075336413
140	0.7882465887	0.6067892316
141	0.7884976723	0.6063723858
142	0.7887071374	0.6057490508
143	0.7886495464	0.6053537716
144	0.788757799	0.6051272891
145	0.7890393346	0.6045531837
146	0.7892526043	0.6042657377
147	0.7894553551	0.6039071022
148	0.7896123	0.6033233607
149	0.7896615031	0.6029431585
150	0.7898293648	0.6023107117
151	0.7899755452	0.6020728887
