iter	MultiClass
0	2.32594681
1	2.249926605
2	2.193599138
3	2.132985876
4	2.081609702
5	2.030096189
6	1.994283268
7	1.960154995
8	1.918947079
9	1.88521674
10	1.851772074
11	1.816730302
12	1.785247161
13	1.758863016
14	1.732836597
15	1.706533823
16	1.683606967
17	1.658982744
18	1.637655127
19	1.617380586
20	1.593279934
21	1.572498499
22	1.552770306
23	1.534858093
24	1.518356042
25	1.501099419
26	1.485438319
27	1.471095096
28	1.455546953
29	1.440334783
30	1.426678015
31	1.413318954
32	1.399832409
33	1.386403914
34	1.373770278
35	1.360241356
36	1.347430137
37	1.335241363
38	1.324618797
39	1.315085268
40	1.304960949
41	1.29515614
42	1.286441342
43	1.278418084
44	1.269685078
45	1.260807207
46	1.251998448
47	1.243916414
48	1.237546889
49	1.229785595
50	1.223440529
51	1.216466374
52	1.208519439
53	1.202133563
54	1.195299939
55	1.187925393
56	1.182557085
57	1.176738266
58	1.171776641
59	1.165971245
60	1.160142143
61	1.154736839
62	1.148125783
63	1.143287985
64	1.1382171
65	1.132916647
66	1.127634141
67	1.122373901
68	1.118006067
69	1.113001836
70	1.108902187
71	1.105371453
72	1.100244791
73	1.096069411
74	1.089460623
75	1.085234747
76	1.080445748
77	1.076925818
78	1.073150522
79	1.069661886
80	1.065476789
81	1.060581068
82	1.05622202
83	1.051242212
84	1.047597915
85	1.043935684
86	1.039608812
87	1.035710102
88	1.031942003
89	1.028472568
90	1.024263121
91	1.020287513
92	1.016795646
93	1.014178194
94	1.011646243
95	1.008457857
96	1.004522466
97	1.000862681
98	0.9975060876
99	0.9943451359
100	0.9905117175
101	0.986501483
102	0.9836067784
103	0.9801609601
104	0.9779095064
105	0.9738601509
106	0.9694932555
107	0.966486452
108	0.9637515107
109	0.9609029515
110	0.9579410522
111	0.9540800837
112	0.950807687
113	0.9467058199
114	0.9430814847
115	0.9397756749
116	0.9363225201
117	0.9338706375
118	0.9300607533
119	0.9267195569
120	0.9248426403
121	0.9216202315
122	0.9187877639
123	0.9161698799
124	0.9137126155
125	0.9115027811
126	0.9097707176
127	0.9073917198
128	0.9049048635
129	0.9029543574
130	0.9002478789
131	0.898587128
132	0.8966339566
133	0.894347087
134	0.8920638574
135	0.8898298031
136	0.8867831251
137	0.8851930929
138	0.8830287527
139	0.8809372973
140	0.8780947061
141	0.8760062437
142	0.873367896
143	0.8710639093
144	0.8688928248
145	0.8664276674
146	0.8632298066
147	0.8600801915
148	0.8585593968
149	0.8558022768
150	0.8543463034
151	0.8516310814
152	0.8486264784
153	0.8458428974
154	0.8427586403
155	0.8412444889
156	0.8388915437
157	0.8373056793
158	0.8350654735
159	0.833412666
160	0.8319210469
161	0.8307438589
162	0.82872088
163	0.8265652803
164	0.8241630496
165	0.8230481425
166	0.8201106358
167	0.818644559
168	0.8168561923
169	0.8149052864
170	0.811744892
171	0.8101202596
172	0.8093768544
173	0.8081933712
174	0.8067876376
175	0.8048978856
176	0.8033073422
177	0.8020049438
178	0.8004427238
179	0.7981243048
180	0.7965215085
181	0.7943682619
182	0.7920645106
183	0.7896992591
184	0.7883154768
185	0.7855811863
186	0.7833568952
187	0.781484919
188	0.7787500637
189	0.7772384282
190	0.7756364271
191	0.7739217389
192	0.7715689619
193	0.7704401464
194	0.7680672152
195	0.7661845753
196	0.7650331666
197	0.7635069945
198	0.7620351092
199	0.7604483927
200	0.759141778
201	0.7574926201
202	0.7553250332
203	0.7540134677
204	0.7519831785
205	0.749921449
206	0.747513
207	0.7460917421
208	0.7442661966
209	0.7426215054
210	0.7405597637
211	0.7382734712
212	0.7367737179
213	0.735251874
214	0.7335413285
215	0.7321236831
216	0.7309462124
217	0.7287059338
218	0.7268862069
219	0.7258025636
220	0.7237358637
221	0.7218904237
222	0.7195335823
223	0.7171934847
224	0.7160579796
225	0.7141787109
226	0.7120067616
227	0.7100204229
228	0.7083665999
229	0.7067068978
230	0.7045151205
231	0.7037898991
232	0.7020492453
233	0.700835575
234	0.7000776448
235	0.6988324825
236	0.6969162222
237	0.695242415
238	0.6943327147
239	0.6928103086
240	0.6913293452
241	0.6907087129
242	0.6891343641
243	0.6882586716
244	0.686145236
245	0.6847392443
246	0.6840255872
247	0.6823978834
248	0.6809983513
249	0.6794195756
250	0.6778185136
251	0.6767056196
252	0.6745942766
253	0.6736374427
254	0.671993141
255	0.6709945187
256	0.6693172727
257	0.6673905725
258	0.6662366427
259	0.6647381668
260	0.6630328932
261	0.6613247523
262	0.6596536393
263	0.65811144
264	0.6574491666
265	0.6559401459
266	0.6554661258
267	0.6547920228
268	0.653786048
269	0.6521545549
270	0.6510606767
271	0.6495534834
272	0.6480282571
273	0.6470924611
274	0.645879425
275	0.6451090788
276	0.6443349846
277	0.6430613154
278	0.641102733
279	0.6397881617
280	0.6387378853
281	0.6371305631
282	0.635643715
283	0.6338336517
284	0.6330636828
285	0.6318077797
286	0.6305434203
287	0.629167262
288	0.6278564901
289	0.6261900897
290	0.6253006637
291	0.6241496324
292	0.6225914039
293	0.6209550832
294	0.6192908999
295	0.6185608643
296	0.6167495573
297	0.6152274318
298	0.6136383313
299	0.6117552976
300	0.6102932957
301	0.6096126025
302	0.6085622994
303	0.607769647
304	0.6063333799
305	0.6048739894
306	0.6039085752
307	0.6027941853
308	0.6014609754
309	0.5997397664
310	0.5989889865
311	0.5982455599
312	0.5968057129
313	0.5954168064
314	0.59403239
315	0.5928892968
316	0.5917937963
317	0.5905893753
318	0.5898712213
319	0.5889767019
320	0.5877998854
321	0.587183636
322	0.5865339028
323	0.5851551416
324	0.5836138728
325	0.5821519172
326	0.5811153568
327	0.5799584943
328	0.5784322444
329	0.5774050832
330	0.5764379746
331	0.5751309334
332	0.5743412103
333	0.5734054754
334	0.5723235786
335	0.5710217137
336	0.5704535279
337	0.569254424
338	0.5681998514
339	0.5665640415
340	0.5661196385
341	0.5653278345
342	0.5644364914
343	0.5631212707
344	0.5621626833
345	0.5614792944
346	0.5604917708
347	0.559182782
348	0.5582645411
349	0.5566988358
350	0.5556771392
351	0.5545204106
352	0.5542574323
353	0.5534515
354	0.5529450542
355	0.5519697911
356	0.550912509
357	0.549721227
358	0.5492253036
359	0.5483174861
360	0.5472100952
361	0.546474963
362	0.5452246445
363	0.5442236313
364	0.5428329789
365	0.541697922
366	0.5406940928
367	0.5397202423
368	0.538885208
369	0.5375982769
370	0.5363293125
371	0.5359702995
372	0.5352094683
373	0.5346350571
374	0.5335840241
375	0.5323971198
376	0.5317988053
377	0.5307493349
378	0.5295062174
379	0.528451855
380	0.5277201683
381	0.5269420449
382	0.5262285631
383	0.5252201811
384	0.5243750158
385	0.5238709912
386	0.5233455841
387	0.5220068716
388	0.5207180513
389	0.5199016575
390	0.5185581253
391	0.5174475379
392	0.5170840386
393	0.5159912825
394	0.5153692514
395	0.5145124678
396	0.5134077296
397	0.5127105659
398	0.5115225421
399	0.5107578483
400	0.5098536913
401	0.5085380881
402	0.507727196
403	0.5067802909
404	0.5060690748
405	0.505305208
406	0.5046170346
407	0.503298934
408	0.5027863332
409	0.5015633251
410	0.5006113335
411	0.5001979406
412	0.4993845525
413	0.4981362805
414	0.4975552548
415	0.4968307072
416	0.4956003307
417	0.4946436552
418	0.4936761437
419	0.4926218804
420	0.4922964845
421	0.4914511667
422	0.4901666112
423	0.48913907
424	0.4882480116
425	0.4871217845
426	0.4859443706
427	0.4849746411
