iter	Passed	Remaining
146	2591	15037
147	2608	15016
148	2625	14994
149	2642	14973
150	2659	14951
151	2676	14931
152	2693	14908
153	2710	14891
154	2728	14872
155	2746	14857
156	2764	14844
157	2781	14821
158	2798	14801
159	2815	14780
160	2832	14758
161	2848	14735
162	2865	14712
163	2881	14687
164	2898	14668
165	2914	14644
166	2931	14623
167	2948	14604
168	2965	14582
169	2982	14562
170	2999	14543
171	3016	14521
172	3033	14500
173	3051	14486
174	3070	14474
175	3088	14460
176	3106	14445
177	3126	14436
178	3145	14425
179	3164	14416
180	3184	14408
181	3203	14398
182	3224	14393
183	3242	14381
184	3261	14369
185	3284	14373
186	3303	14360
187	3322	14349
188	3341	14339
189	3360	14327
190	3378	14312
191	3396	14294
192	3415	14282
193	3433	14264
194	3450	14244
195	3467	14225
196	3485	14208
197	3504	14193
198	3521	14172
199	3538	14154
200	3555	14133
201	3572	14112
202	3588	14090
203	3606	14070
204	3622	14046
205	3638	14023
206	3655	14004
207	3672	13982
208	3689	13963
209	3706	13942
210	3723	13921
211	3740	13901
212	3757	13883
213	3775	13865
214	3792	13847
215	3809	13827
216	3826	13805
217	3843	13787
218	3860	13767
219	3877	13746
220	3893	13725
221	3910	13704
222	3926	13682
223	3944	13665
224	3960	13642
225	3977	13621
226	3993	13598
227	4009	13576
228	4027	13559
229	4044	13539
230	4062	13523
231	4079	13503
232	4096	13484
233	4112	13462
234	4128	13440
235	4145	13419
236	4161	13398
237	4177	13374
238	4193	13353
239	4212	13338
240	4228	13318
241	4245	13298
242	4261	13276
243	4278	13255
244	4294	13235
245	4311	13214
246	4328	13194
247	4346	13180
248	4363	13161
249	4382	13146
250	4399	13127
251	4415	13106
252	4432	13086
253	4448	13065
254	4466	13047
255	4482	13028
256	4499	13007
257	4515	12987
258	4532	12968
259	4549	12947
260	4565	12927
261	4581	12905
262	4598	12887
263	4615	12866
264	4631	12846
265	4648	12827
266	4665	12808
267	4682	12788
268	4701	12777
269	4718	12758
270	4735	12737
271	4752	12719
272	4770	12705
273	4787	12685
274	4804	12665
275	4822	12649
276	4838	12629
277	4854	12607
278	4871	12588
279	4887	12567
280	4903	12546
281	4920	12526
282	4936	12506
283	4953	12488
284	4970	12469
285	4986	12449
286	5003	12430
287	5020	12411
288	5036	12391
289	5053	12372
290	5070	12354
291	5087	12334
292	5104	12316
293	5121	12298
294	5137	12278
295	5154	12258
296	5171	12241
297	5188	12222
298	5205	12203
299	5222	12185
300	5238	12165
301	5254	12145
302	5271	12126
303	5288	12107
304	5305	12089
305	5321	12069
306	5338	12049
307	5356	12034
308	5373	12015
309	5391	12000
310	5407	11980
311	5424	11962
312	5441	11943
313	5458	11924
314	5475	11906
315	5492	11889
316	5509	11871
317	5527	11853
318	5544	11836
319	5561	11819
320	5579	11801
321	5596	11784
322	5614	11768
323	5632	11751
324	5650	11736
325	5667	11717
326	5684	11699
327	5701	11681
328	5718	11663
329	5736	11647
330	5753	11627
331	5772	11613
332	5789	11596
333	5808	11582
334	5826	11565
335	5842	11546
336	5859	11527
337	5875	11507
338	5893	11492
339	5910	11473
340	5928	11457
341	5944	11437
342	5961	11419
343	5978	11401
344	5996	11385
345	6013	11367
346	6031	11349
347	6048	11331
348	6065	11314
349	6082	11296
350	6101	11280
351	6118	11263
352	6135	11246
353	6152	11228
354	6169	11209
355	6186	11190
356	6203	11174
357	6220	11155
358	6237	11137
359	6254	11118
360	6271	11101
361	6288	11083
362	6305	11065
363	6322	11047
364	6339	11028
365	6357	11011
366	6374	10994
367	6391	10977
368	6409	10959
369	6425	10940
370	6442	10922
371	6459	10904
372	6475	10885
373	6492	10867
374	6508	10848
375	6525	10829
376	6542	10811
377	6559	10792
378	6575	10774
379	6593	10757
380	6609	10738
381	6626	10719
382	6643	10703
383	6660	10684
384	6677	10665
385	6693	10647
386	6710	10629
387	6728	10613
388	6744	10594
389	6761	10575
390	6778	10557
391	6795	10539
392	6811	10520
393	6828	10503
394	6844	10483
395	6864	10469
396	6883	10455
397	6901	10439
398	6921	10425
399	6938	10407
400	6955	10390
401	6973	10372
402	6991	10356
403	7008	10338
404	7025	10320
405	7043	10304
406	7060	10287
407	7079	10271
408	7095	10252
409	7112	10235
410	7129	10217
411	7148	10202
412	7166	10185
413	7184	10169
414	7202	10152
415	7219	10135
416	7237	10118
417	7255	10101
418	7273	10085
419	7291	10069
420	7308	10051
421	7327	10036
422	7344	10018
423	7363	10002
424	7381	9986
425	7398	9968
426	7415	9951
427	7433	9934
428	7452	9918
429	7468	9900
430	7485	9881
431	7501	9863
432	7520	9847
433	7539	9832
434	7556	9815
435	7574	9798
436	7591	9780
437	7608	9762
438	7626	9746
439	7643	9727
440	7659	9709
441	7676	9690
442	7693	9673
443	7712	9658
444	7731	9642
445	7748	9625
446	7766	9608
447	7783	9590
448	7800	9572
449	7818	9555
450	7834	9537
451	7851	9519
452	7868	9501
453	7885	9483
454	7902	9465
455	7919	9447
456	7936	9429
457	7953	9412
458	7969	9393
459	7986	9375
460	8002	9356
461	8018	9338
462	8035	9320
463	8052	9302
464	8068	9283
465	8085	9265
466	8101	9246
467	8117	9227
468	8133	9209
469	8150	9191
470	8166	9172
471	8183	9153
472	8200	9136
473	8216	9118
474	8233	9100
475	8250	9082
476	8266	9063
477	8283	9046
478	8300	9027
479	8316	9009
480	8333	8991
481	8349	8973
482	8368	8957
483	8384	8938
484	8401	8920
485	8417	8902
486	8434	8885
487	8451	8867
488	8469	8850
489	8485	8832
490	8503	8815
491	8521	8798
492	8537	8780
493	8555	8763
494	8571	8744
495	8588	8727
496	8605	8709
497	8622	8691
498	8639	8674
499	8656	8656
500	8672	8637
501	8689	8620
502	8705	8602
503	8722	8584
504	8739	8566
505	8756	8549
506	8773	8531
507	8790	8513
508	8808	8496
509	8824	8478
510	8841	8460
511	8858	8443
512	8875	8425
513	8892	8407
514	8909	8390
515	8926	8372
516	8943	8355
517	8959	8336
518	8975	8318
519	8993	8301
520	9010	8283
521	9026	8266
522	9043	8247
523	9063	8232
524	9091	8225
525	9114	8213
526	9137	8201
527	9155	8184
528	9171	8165
529	9187	8147
530	9203	8129
531	9220	8111
532	9237	8093
533	9253	8075
534	9269	8056
535	9286	8038
536	9302	8020
537	9318	8002
538	9335	7984
539	9351	7966
540	9368	7948
541	9384	7930
542	9401	7912
543	9418	7895
544	9435	7877
545	9451	7859
546	9469	7841
547	9485	7824
548	9502	7806
549	9519	7788
550	9536	7771
551	9553	7753
552	9570	7736
553	9587	7718
554	9604	7701
555	9622	7684
556	9642	7669
557	9663	7654
558	9682	7638
559	9703	7623
560	9722	7608
561	9740	7591
562	9760	7576
563	9780	7560
564	9801	7545
565	9821	7530
566	9841	7515
567	9861	7500
568	9880	7484
569	9898	7467
570	9917	7451
571	9937	7436
572	9958	7421
573	9978	7405
574	9997	7389
575	10014	7372
576	10034	7355
577	10053	7339
578	10072	7323
579	10090	7306
580	10109	7290
581	10130	7275
582	10149	7259
583	10168	7243
584	10187	7227
585	10206	7210
586	10226	7195
587	10245	7178
588	10264	7162
589	10283	7146
590	10302	7129
591	10320	7113
592	10339	7096
593	10356	7078
594	10376	7063
595	10394	7045
596	10411	7028
597	10430	7011
598	10447	6994
599	10467	6978
600	10485	6961
601	10504	6944
602	10522	6927
603	10541	6911
604	10560	6894
605	10579	6878
606	10599	6862
607	10618	6846
608	10638	6830
609	10658	6814
610	10678	6798
611	10699	6783
612	10718	6766
613	10739	6751
614	10759	6735
615	10777	6718
616	10795	6701
617	10818	6687
618	10837	6670
619	10854	6652
620	10872	6635
621	10888	6617
622	10905	6599
623	10921	6580
624	10939	6563
625	10956	6545
626	10974	6528
627	10993	6511
628	11012	6495
629	11030	6478
630	11050	6462
631	11069	6445
632	11088	6428
633	11110	6413
634	11129	6397
635	11147	6380
636	11166	6363
637	11185	6346
638	11203	6329
639	11220	6311
640	11237	6293
641	11254	6275
642	11270	6257
643	11287	6239
644	11305	6222
645	11324	6205
646	11341	6187
647	11358	6170
648	11375	6152
649	11392	6134
650	11409	6116
651	11426	6099
652	11444	6081
653	11461	6063
654	11478	6045
655	11496	6028
656	11516	6012
657	11535	5995
658	11552	5977
659	11569	5959
660	11586	5942
661	11603	5924
662	11620	5906
663	11638	5889
664	11655	5871
665	11673	5854
666	11692	5837
667	11710	5820
668	11728	5802
669	11747	5786
670	11764	5768
671	11782	5750
672	11798	5732
673	11816	5715
674	11834	5698
675	11851	5680
676	11868	5662
677	11885	5644
678	11901	5626
679	11918	5608
680	11935	5590
681	11953	5573
682	11970	5555
683	11987	5537
684	12004	5520
685	12022	5502
686	12038	5484
687	12055	5466
688	12071	5449
689	12088	5431
690	12106	5413
691	12122	5395
692	12139	5377
693	12155	5359
694	12172	5342
695	12190	5324
696	12210	5308
697	12228	5290
698	12245	5273
699	12262	5255
700	12281	5238
701	12299	5221
702	12317	5203
703	12335	5186
704	12353	5169
705	12370	5151
706	12389	5134
707	12406	5116
708	12423	5098
709	12442	5082
710	12460	5064
711	12478	5047
712	12495	5029
713	12512	5012
714	12530	4994
715	12549	4977
716	12566	4960
717	12584	4942
718	12601	4924
719	12618	4907
720	12635	4889
721	12652	4871
722	12671	4854
723	12690	4837
724	12707	4820
725	12724	4802
726	12741	4784
727	12759	4767
728	12777	4749
729	12794	4732
730	12811	4714
731	12830	4697
732	12848	4680
733	12866	4662
734	12883	4645
735	12901	4627
736	12919	4610
737	12936	4592
738	12954	4575
739	12971	4557
740	12988	4539
741	13004	4521
742	13022	4504
743	13039	4486
744	13057	4469
745	13075	4452
746	13094	4434
747	13110	4417
748	13127	4399
749	13144	4381
750	13161	4363
751	13177	4345
752	13195	4328
753	13211	4310
754	13228	4292
755	13245	4274
756	13262	4257
757	13279	4239
758	13295	4221
759	13311	4203
760	13328	4185
761	13345	4168
762	13361	4150
763	13379	4133
764	13397	4115
765	13414	4097
766	13432	4080
767	13449	4062
768	13467	4045
769	13484	4027
770	13501	4010
771	13518	3992
772	13535	3974
773	13552	3957
774	13569	3939
775	13585	3921
776	13602	3903
777	13619	3886
778	13636	3868
779	13653	3851
780	13670	3833
781	13688	3815
782	13707	3798
783	13724	3781
784	13742	3763
785	13760	3746
786	13778	3729
787	13796	3711
788	13812	3693
789	13829	3676
790	13845	3658
791	13862	3640
792	13879	3622
793	13896	3605
794	13913	3587
795	13930	3570
796	13947	3552
797	13964	3534
798	13980	3517
799	13997	3499
800	14014	3481
801	14030	3463
802	14048	3446
803	14064	3428
804	14081	3411
805	14098	3393
806	14114	3375
807	14131	3357
808	14147	3340
809	14164	3322
810	14181	3304
811	14197	3287
812	14214	3269
813	14230	3251
814	14247	3234
815	14264	3216
816	14279	3198
817	14296	3180
818	14313	3163
819	14330	3145
820	14346	3127
821	14363	3110
822	14380	3092
823	14396	3075
824	14413	3057
825	14430	3039
826	14447	3022
827	14463	3004
828	14479	2986
829	14496	2969
830	14512	2951
831	14529	2933
832	14546	2916
833	14563	2898
834	14580	2881
835	14597	2863
836	14613	2845
837	14631	2828
838	14648	2811
839	14665	2793
840	14682	2775
841	14699	2758
842	14716	2740
843	14733	2723
844	14751	2705
845	14768	2688
846	14785	2670
847	14801	2653
848	14818	2635
849	14835	2617
850	14851	2600
851	14868	2582
852	14884	2565
853	14902	2547
854	14919	2530
855	14936	2512
856	14953	2495
857	14971	2477
858	14987	2460
859	15006	2442
860	15022	2425
861	15039	2407
862	15056	2390
863	15072	2372
864	15089	2354
865	15106	2337
866	15123	2319
867	15140	2302
868	15157	2284
869	15174	2267
870	15191	2249
871	15210	2232
872	15229	2215
873	15249	2198
874	15268	2181
875	15287	2164
876	15306	2146
877	15327	2129
878	15345	2112
879	15365	2095
880	15384	2078
881	15406	2061
882	15425	2043
883	15446	2026
884	15465	2009
885	15485	1992
886	15505	1975
887	15524	1957
888	15543	1940
889	15563	1923
890	15582	1906
891	15601	1888
892	15622	1871
893	15642	1854
894	15664	1837
895	15684	1820
896	15704	1803
897	15725	1786
898	15743	1768
899	15763	1751
900	15782	1734
901	15803	1716
902	15824	1699
903	15844	1682
904	15863	1665
905	15882	1647
906	15904	1630
907	15926	1613
908	15957	1597
909	15987	1581
910	16010	1564
911	16028	1546
912	16051	1529
913	16071	1512
914	16092	1494
915	16112	1477
916	16132	1460
917	16151	1442
918	16169	1425
919	16188	1407
920	16207	1390
921	16227	1372
922	16247	1355
923	16265	1337
924	16283	1320
925	16302	1302
926	16320	1285
927	16337	1267
928	16355	1250
929	16373	1232
930	16392	1214
931	16412	1197
932	16431	1179
933	16449	1162
934	16467	1144
935	16486	1127
936	16505	1109
937	16523	1092
938	16541	1074
939	16559	1056
940	16578	1039
941	16598	1021
942	16618	1004
943	16636	986
944	16656	969
945	16676	951
946	16695	934
947	16714	916
948	16733	899
949	16749	881
950	16768	864
951	16787	846
952	16806	828
953	16829	811
954	16849	793
955	16868	776
956	16888	758
957	16906	741
958	16926	723
959	16945	706
960	16966	688
961	16984	670
962	17004	653
963	17023	635
964	17042	618
965	17060	600
966	17081	582
967	17100	565
968	17117	547
969	17135	529
970	17152	512
971	17172	494
972	17191	477
973	17211	459
974	17231	441
975	17250	424
976	17270	406
977	17289	388
978	17306	371
979	17326	353
980	17345	335
981	17364	318
982	17382	300
983	17400	282
984	17421	265
985	17441	247
986	17459	229
987	17477	212
988	17496	194
989	17516	176
990	17536	159
991	17557	141
992	17579	123
993	17600	106
994	17635	88
995	17660	70
996	17681	53
997	17701	35
998	17721	17
999	17745	0
